user_id,tx1_date,tx1_amount,tx2_date,tx2_amount
288198b5-0ec0-4903-841d-58e2b6afa502,2020-09-11 08:52:06,47.0,2020-09-13 22:36:14,9.0
11aedb84-3036-4fba-b494-e8513b24c4d6,2020-09-15 11:48:04,53.0,2020-09-19 11:20:19,34.0
dd50a178-d4bf-49ca-b67a-e04783042604,2020-08-30 07:59:25,187.0,2020-09-10 16:58:03,41.0
fa7429b8-02b1-4bbc-9861-4f3e15d1cc90,2020-09-13 13:05:40,105.0,2020-09-20 07:00:55,45.0
3bd0a84c-9524-473e-b0ad-39bc91be4456,2020-09-25 02:43:24,172.0,2020-09-28 07:24:14,16.0
a6db26be-5805-4f33-95dd-12e35c206aca,2020-09-18 21:38:42,78.0,2020-09-27 11:34:34,42.0
7ea77edf-1316-4323-b6b8-8e20fcd04596,2020-09-28 16:02:09,146.0,2020-09-28 19:15:21,14.0
e893f54a-e7f0-47c8-8ae0-5ab07d3d7f07,2020-09-19 05:51:47,100.0,2020-09-19 11:30:44,47.0
44cf6b84-0012-47ca-8921-ef60693a4946,2020-08-22 12:29:56,164.0,2020-09-15 13:53:16,35.0
b9beec76-bf7f-4927-8e33-af9be5fb531d,2020-09-24 13:35:31,71.0,2020-09-26 21:39:15,12.0
3355ce3b-ab7e-4962-a24b-721608a5cc09,2020-09-24 06:19:31,113.0,2020-09-24 19:28:36,39.0
e89483f7-8858-4353-9d5a-9783393cdb02,2020-08-27 03:20:41,138.0,2020-09-01 08:44:36,46.0
0be670db-7c2b-4977-980d-d60bb91cc15d,2020-07-22 08:49:52,110.0,2020-09-06 23:43:29,17.0
d5e8ea62-0fd0-4a83-8f32-71bd8ab8eb90,2020-09-21 05:11:27,195.0,2020-09-22 15:10:26,42.0
6d75f279-b69e-40d6-ba22-28c8235ae9cc,2020-09-08 12:30:18,141.0,2020-09-27 21:06:35,34.0
8dec4bc8-79ac-427e-a6d1-a35606c11f70,2020-09-28 10:28:34,58.0,2020-09-28 13:01:50,24.0
a9064434-9f4e-4c5a-840a-cf5a7230b517,2020-09-21 01:40:23,183.0,2020-09-23 09:53:10,38.0
82f1edba-7315-4e0e-ba20-eb247dbbc181,2020-09-07 21:36:28,171.0,2020-09-27 11:20:13,42.0
a8432895-f7a6-4d69-b55a-34323e47f3ae,2020-09-22 19:48:25,158.0,2020-09-26 07:56:23,30.0
eff47c43-20bc-49e3-bcea-858e93c52d9d,2020-09-26 07:27:45,39.0,2020-09-28 20:06:39,15.0
c3eeb35d-f3a3-4992-911e-58d5bb35bcd3,2020-09-28 13:24:57,156.0,2020-09-29 13:50:31,2.0
5d079b81-fd20-42cf-aa8d-3d77996443a2,2020-08-22 12:00:29,114.0,2020-09-23 20:30:49,33.0
d8458e49-c044-407f-8e3b-19469bf9c316,2020-09-13 09:42:51,67.0,2020-09-23 14:42:19,38.0
386e60f3-4c80-4fba-8439-033934b99b40,2020-09-22 06:29:16,179.0,2020-09-27 01:53:45,42.0
41d77ba5-3161-40fb-b3a1-1c26d95c82ef,2020-09-10 18:26:01,106.0,2020-09-17 17:57:31,31.0
baad38bf-c128-4d9b-ab03-f421ddb6d91e,2020-08-18 08:04:15,181.0,2020-08-22 06:34:24,27.0
d6dca099-d1ca-47fe-891e-cd21ffd97a6c,2020-08-29 04:40:43,141.0,2020-09-05 11:55:02,36.0
